epoch,accuracy,loss,mAP,val_accuracy,val_loss,val_mAP
0,0.8676822185516357,0.3942539393901825,0.9434488415718079,0.9079498052597046,0.2879212200641632,0.9612343907356262
1,0.9540023803710938,0.13843373954296112,0.9898837208747864,0.9232915043830872,0.25370362401008606,0.9716554880142212
2,0.9764038324356079,0.0742599293589592,0.9970382452011108,0.9177126884460449,0.2582603394985199,0.9749098420143127
3,0.9874551892280579,0.04349119961261749,0.9991149306297302,0.9149233102798462,0.287948340177536,0.9710364937782288
4,0.9949223399162292,0.022836819291114807,0.9998149275779724,0.9205020666122437,0.28484174609184265,0.971614420413971
5,0.9985065460205078,0.012633007019758224,0.9994184374809265,0.9274755716323853,0.25070351362228394,0.9755171537399292
6,0.9982078671455383,0.009698070585727692,0.9999285340309143,0.9344490766525269,0.2463598996400833,0.976477861404419
7,0.9997013211250305,0.004445032682269812,0.9999949932098389,0.9414225816726685,0.2529548704624176,0.9774808883666992
8,0.9991039633750916,0.006419867277145386,0.9992426633834839,0.9400278925895691,0.24468213319778442,0.9744264483451843
9,0.9961170554161072,0.013602664694190025,0.9986896514892578,0.9372385144233704,0.26540857553482056,0.9706579446792603
10,0.9982078671455383,0.008404653519392014,0.999767005443573,0.9386332035064697,0.2713654935359955,0.9711377620697021
11,0.9982078671455383,0.010783922858536243,0.9994372129440308,0.9330543875694275,0.2698752284049988,0.971350908279419
12,0.999402642250061,0.003963632974773645,0.9994776844978333,0.9428172707557678,0.25449058413505554,0.9716570973396301
13,0.9982078671455383,0.006219732109457254,0.9997778534889221,0.9149233102798462,0.3558253347873688,0.9572668671607971
14,0.9973118305206299,0.013306580483913422,0.9989283680915833,0.9149233102798462,0.43781420588493347,0.9499454498291016
15,0.9540023803710938,0.14760637283325195,0.9864066243171692,0.9205020666122437,0.3448271155357361,0.9605198502540588
16,0.9731183052062988,0.08543775975704193,0.9936243295669556,0.9246861934661865,0.34524765610694885,0.9596734046936035
17,0.9931302070617676,0.024674508720636368,0.9987195134162903,0.9065551161766052,0.4436500370502472,0.950065553188324
18,0.9985065460205078,0.008728341199457645,0.9994586706161499,0.9316596984863281,0.33405324816703796,0.9599940776824951
19,0.9985065460205078,0.006841655354946852,0.9992626905441284,0.9358437657356262,0.3306007981300354,0.9599270820617676
20,0.9997013211250305,0.00258634053170681,0.9999912977218628,0.9414225816726685,0.34311920404434204,0.9601115584373474
21,0.9997013211250305,0.0030523452442139387,0.9994909167289734,0.9386332035064697,0.3436014950275421,0.958350419998169
22,0.9997013211250305,0.0025326234754174948,0.9994927048683167,0.9330543875694275,0.363716185092926,0.9517979621887207
23,0.999402642250061,0.001755786594003439,0.9999991059303284,0.9316596984863281,0.35526683926582336,0.9568708539009094
24,0.9997013211250305,0.0022810574155300856,0.9999896287918091,0.9344490766525269,0.36264273524284363,0.9516834020614624
25,0.999402642250061,0.002925457200035453,0.999988853931427,0.9274755716323853,0.4357675313949585,0.9402655363082886
26,0.9970131516456604,0.009722882881760597,0.9994484782218933,0.9274755716323853,0.37451955676078796,0.965204119682312
27,0.9967144727706909,0.011981166899204254,0.9994258880615234,0.9274755716323853,0.41931578516960144,0.9430573582649231
28,0.9964157938957214,0.008630123920738697,0.9999533295631409,0.913528561592102,0.4869101345539093,0.9417902231216431
29,0.9922341704368591,0.026507355272769928,0.9982482194900513,0.9246861934661865,0.40888482332229614,0.9578900933265686
30,0.9973118305206299,0.007031649816781282,0.9999745488166809,0.9302650094032288,0.39781469106674194,0.9599357843399048
31,0.9922341704368591,0.023609260097146034,0.9988061189651489,0.8898186683654785,0.8893570303916931,0.9046548008918762
32,0.9784946441650391,0.07597117125988007,0.9944509267807007,0.9177126884460449,0.5095963478088379,0.9369386434555054
33,0.9916368126869202,0.020703637972474098,0.9993036389350891,0.9288703203201294,0.4136008620262146,0.9538742899894714
34,0.9904420375823975,0.023531651124358177,0.9997162222862244,0.9107391834259033,0.6105000972747803,0.9300745725631714
