epoch,accuracy,loss,mAP,val_accuracy,val_loss,val_mAP
0,0.8390083909034729,0.477010041475296,0.9249558448791504,0.9232915043830872,0.22732505202293396,0.9789330959320068
1,0.9357825517654419,0.18035751581192017,0.9843316078186035,0.9386332035064697,0.19776266813278198,0.9839032888412476
2,0.9507168531417847,0.13478124141693115,0.9910614490509033,0.9386332035064697,0.22304323315620422,0.9807501435279846
3,0.9545997381210327,0.11995518207550049,0.9925866723060608,0.9428172707557678,0.18856415152549744,0.9847390651702881
4,0.9746116995811462,0.07584983855485916,0.9971778988838196,0.9288703203201294,0.2555531859397888,0.9756198525428772
5,0.969832718372345,0.07697684317827225,0.99689120054245,0.8856346011161804,0.3694327771663666,0.9589915871620178
6,0.9874551892280579,0.042019303888082504,0.9986790418624878,0.9330543875694275,0.2192545384168625,0.9806420803070068
7,0.9937276244163513,0.027643276378512383,0.9996957182884216,0.9470013976097107,0.23601539433002472,0.9785605669021606
8,0.9907407164573669,0.03020051307976246,0.9996685981750488,0.9344490766525269,0.24986477196216583,0.9756875038146973
9,0.9943249821662903,0.022115981206297874,0.999805212020874,0.9330543875694275,0.23554734885692596,0.9775433540344238
10,0.9892473220825195,0.03078707866370678,0.9994936585426331,0.9386332035064697,0.24148806929588318,0.9764293432235718
11,0.9946236610412598,0.018491514027118683,0.9997895956039429,0.9414225816726685,0.2575770616531372,0.9767053723335266
12,0.9925328493118286,0.027409670874476433,0.9995724558830261,0.9274755716323853,0.28574392199516296,0.9718197584152222
13,0.9919354915618896,0.02560441382229328,0.9991692304611206,0.9191073775291443,0.3368084728717804,0.9645678997039795
14,0.9970131516456604,0.013145381584763527,0.9999430179595947,0.9456067085266113,0.2434481978416443,0.9813373684883118
15,0.9988052845001221,0.008560923859477043,0.9999854564666748,0.9414225816726685,0.2794376015663147,0.9742417335510254
16,0.9997013211250305,0.004113103728741407,0.999998152256012,0.9344490766525269,0.29205426573753357,0.9749652147293091
17,0.9979091882705688,0.0065424684435129166,0.9999808073043823,0.9400278925895691,0.306423157453537,0.9687164425849915
18,0.9964157938957214,0.011122291907668114,0.9999594688415527,0.9372385144233704,0.3013916313648224,0.9709475636482239
19,0.9964157938957214,0.01071028783917427,0.9999396800994873,0.9428172707557678,0.3230792284011841,0.9670374989509583
20,0.9928315281867981,0.017159340903162956,0.9998356103897095,0.900976300239563,0.5123312473297119,0.9477858543395996
21,0.9919354915618896,0.025902418419718742,0.9995803833007812,0.9274755716323853,0.3819422125816345,0.9588279128074646
22,0.9805853962898254,0.06307429820299149,0.9950011968612671,0.9288703203201294,0.37272560596466064,0.9675536155700684
23,0.9725208878517151,0.07839452475309372,0.9953073859214783,0.9218968152999878,0.37238243222236633,0.9556889533996582
24,0.9829748868942261,0.040862567722797394,0.9990624785423279,0.9372385144233704,0.348807692527771,0.9610635042190552
25,0.9970131516456604,0.011074928566813469,0.9994406700134277,0.9316596984863281,0.34807687997817993,0.9708516597747803
26,0.999402642250061,0.0027562566101551056,0.9999996423721313,0.9330543875694275,0.35220229625701904,0.9682341814041138
27,1.0,0.0011482957052066922,1.0,0.9330543875694275,0.3322733938694,0.9730748534202576
28,1.0,0.0011301077902317047,1.0,0.9302650094032288,0.33825820684432983,0.9715279340744019
29,0.9964157938957214,0.014139236882328987,0.9989094734191895,0.9163179993629456,0.36485105752944946,0.9710850715637207
30,0.9883512258529663,0.029500683769583702,0.998551607131958,0.9330543875694275,0.38728806376457214,0.9609633088111877
31,0.9892473220825195,0.030045727267861366,0.9993155598640442,0.9232915043830872,0.3500761091709137,0.9661917686462402
32,0.9988052845001221,0.006700266618281603,0.9999796152114868,0.9288703203201294,0.42810148000717163,0.9566525220870972
33,0.999402642250061,0.002772301435470581,0.9999985694885254,0.9358437657356262,0.3424021303653717,0.9689163565635681
34,0.999402642250061,0.002186303259804845,0.999997615814209,0.9330543875694275,0.355158269405365,0.9698617458343506
35,0.999402642250061,0.003819211618974805,0.9994847178459167,0.9274755716323853,0.3790573477745056,0.9667298793792725
36,0.9973118305206299,0.006100743543356657,0.9999805092811584,0.9386332035064697,0.3711930513381958,0.965046763420105
37,1.0,0.001678037573583424,1.0,0.9330543875694275,0.3625483214855194,0.9677501320838928
38,0.9997013211250305,0.0008269820245914161,0.9999997615814209,0.9358437657356262,0.3697052597999573,0.963720977306366
39,0.9949223399162292,0.0120825981721282,0.9994292855262756,0.9330543875694275,0.45178091526031494,0.9526556730270386
40,0.9946236610412598,0.017642416059970856,0.9993466734886169,0.9232915043830872,0.41519787907600403,0.9583805203437805
41,0.9844683408737183,0.05067209154367447,0.9969471096992493,0.9121338725090027,0.523567795753479,0.9487767219543457
42,0.9778972268104553,0.06537988036870956,0.9955419301986694,0.9316596984863281,0.3413442373275757,0.9705414175987244
43,0.9934288859367371,0.018361683934926987,0.9998087882995605,0.913528561592102,0.4318067133426666,0.9470838308334351
44,0.9952210187911987,0.013838482089340687,0.999885082244873,0.9274755716323853,0.39125117659568787,0.9619107246398926
45,0.9991039633750916,0.0021099799778312445,0.9999988079071045,0.9372385144233704,0.35339802503585815,0.9621802568435669
46,0.999402642250061,0.002825189149007201,0.9999879002571106,0.9302650094032288,0.384179949760437,0.9607170224189758
47,0.999402642250061,0.002884677844122052,0.9994924664497375,0.9358437657356262,0.3662145435810089,0.9631931185722351
48,0.9988052845001221,0.003990573342889547,0.9997889995574951,0.9330543875694275,0.3653987944126129,0.96209317445755
49,0.9991039633750916,0.002598682651296258,0.9999969601631165,0.9386332035064697,0.3750725984573364,0.9643597602844238
